rep,task,condition,json_valid,status,patch_applied,verified_solve,false_completion,failure_type,recovery_observed,trajectory_use_observed,evidence,notes
rep_01,challenge_007,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_007,agent_b,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_007,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_007,agent_d,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_008,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_008,agent_b,false,generation_failed,false,false,,patch_did_not_apply,,,,
rep_01,challenge_008,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_008,agent_d,true,ok,true,true,false,,false,true,Agent D solved while Agent B generation failed in the same replicate,Cross-condition contrast suggests full trajectories improved robustness on challenge_008
rep_01,challenge_009,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_009,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_009,agent_c,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_009,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,Tie with final-patch baseline on challenge_009
rep_01,challenge_010,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_b,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_010,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_d,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_001,agent_a,true,ok,true,true,false,,,,,
rep_02,challenge_001,agent_b,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_001,agent_c,true,ok,true,true,false,,,,,
rep_02,challenge_001,agent_d,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_002,agent_a,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_002,agent_b,true,ok,true,false,true,tests_failed,false,false,false completion with tests_failed and no retained recovery trace,Final-patch baseline applied a patch but did not verify the fix on challenge_002
rep_02,challenge_002,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_002,agent_d,true,ok,true,true,false,,false,true,Agent D solved while Agent B false-completed in the same replicate,Cross-condition contrast suggests full trajectories reduced false completion on challenge_002
rep_02,challenge_003,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,false,false,no verified recovery signal in retained artifact,Instruction-only baseline ended with no effective change on challenge_003
rep_02,challenge_003,agent_b,true,ok,true,true,false,,false,false,solved but no recovery trace is retained in the final-patch artifact,Final-patch baseline solved challenge_003 in rep_02
rep_02,challenge_003,agent_c,true,no_effective_changes,false,false,,patch_did_not_apply,false,false,no verified recovery signal in retained artifact,Verified-lessons condition ended with no effective change on challenge_003
rep_02,challenge_003,agent_d,true,ok,true,true,false,,false,false,solved challenge_003 but Agent B also solved this replicate,Full-trajectory condition solved challenge_003 in rep_02 without a unique contrast signal
rep_02,challenge_004,agent_a,true,ok,true,true,false,,,,,
rep_02,challenge_004,agent_b,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_004,agent_c,true,ok,true,true,false,,,,,
rep_02,challenge_004,agent_d,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_005,agent_a,true,ok,true,true,false,,,,,
rep_02,challenge_005,agent_b,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_005,agent_c,true,ok,true,true,false,,,,,
rep_02,challenge_005,agent_d,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_006,agent_a,true,ok,true,false,true,tests_failed,,,,
rep_02,challenge_006,agent_b,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_006,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_02,challenge_006,agent_d,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_007,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_007,agent_b,true,ok,true,true,false,,,,,
rep_02,challenge_007,agent_c,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_007,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,Tie with final-patch baseline on challenge_007
rep_02,challenge_008,agent_a,true,ok,true,true,false,,,,,
rep_02,challenge_008,agent_b,true,ok,false,false,,patch_did_not_apply,,,,
rep_02,challenge_008,agent_c,true,ok,true,true,false,,,,,
rep_02,challenge_008,agent_d,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_009,agent_a,true,ok,true,true,false,,,,,
rep_02,challenge_009,agent_b,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_009,agent_c,true,ok,true,true,false,,,,,
rep_02,challenge_009,agent_d,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_010,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_010,agent_b,true,ok,true,true,false,,,,,
rep_02,challenge_010,agent_c,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_02,challenge_010,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,Tie with final-patch baseline on challenge_010
